trial_number,learning_rate,n_steps,batch_size,gamma,clip_range,ent_coef,vf_coef,use_target_kl,n_layers,hidden_size,activation,value
0,7.3433654424855105e-06,256,64,0.928,0.22,0.0014914982730523303,0.1,0.02,3,64,Tanh,233.71442539999998
1,1.8680422913429066e-06,256,32,0.936,0.12,3.748054292076942e-05,1.0,0.01,2,64,ReLU,233.7047858
2,9.735271605108068e-05,512,64,0.91,0.16999999999999998,0.008566261694887724,0.6,0.02,2,128,ReLU,233.1145136
3,5.493152083813353e-06,512,32,0.928,0.16999999999999998,3.637467751879977e-05,0.5,0.02,2,128,Tanh,234.00459
4,5.72245871377185e-05,256,32,0.931,0.16,1.3075683717121039e-05,0.4,,2,128,ReLU,233.26234140000003
5,2.1818312549472597e-05,256,32,0.914,0.18,0.0005746816981282196,0.7000000000000001,0.005,2,64,ReLU,233.24218679999998
6,1.411185095553231e-06,512,64,0.93,0.16999999999999998,0.0079273163468618,0.5,0.005,3,128,ReLU,233.4573634
7,0.00013918483356873467,256,64,0.887,0.18,3.737372628559943e-05,0.8,0.005,2,64,Tanh,233.2251006
8,2.3781037589341715e-06,512,32,0.9380000000000001,0.16,0.004512496349771318,0.2,,2,256,LeakyReLU,233.72491540000001
9,9.438650756967153e-06,512,32,0.89,0.18,2.6507468406584876e-06,0.1,,2,128,Tanh,233.45476760000003
10,4.856341142078166e-06,512,32,0.95,0.13,0.0002653961430455647,0.30000000000000004,0.02,3,256,LeakyReLU,233.52697820000003
11,2.819764720132269e-06,512,32,0.9490000000000001,0.15,1.3206886399947427e-06,0.30000000000000004,,2,256,LeakyReLU,233.1311192
12,2.099152732918929e-05,512,32,0.905,0.2,0.0001450537146749118,0.30000000000000004,0.01,2,256,LeakyReLU,232.8089876
13,3.5895364118798933e-06,512,32,0.9390000000000001,0.13999999999999999,0.0012574339011271437,0.5,,2,256,LeakyReLU,233.7545772
14,4.577644107401032e-06,512,32,0.921,0.13999999999999999,0.0008392336800873244,0.5,0.02,3,256,Tanh,234.14643700000002
15,1.3475043431484816e-05,512,32,0.92,0.13999999999999999,1.0645242624740042e-05,0.8,0.02,3,128,Tanh,233.47210299999998
16,1.010549341887506e-06,512,32,0.899,0.12,6.285015330753788e-05,0.6,0.02,3,256,Tanh,234.0609402
17,1.0152743064777467e-06,512,32,0.897,0.12,0.00039934546019639234,0.7000000000000001,0.02,3,256,Tanh,233.91763260000002
18,3.874130819741426e-05,512,64,0.901,0.13,0.00010106938553711103,1.0,0.02,3,256,Tanh,232.43590280000004
19,1.155912585653966e-06,512,32,0.919,0.13999999999999999,0.0011094779753793897,0.6,0.02,3,256,Tanh,234.13551780000003
20,3.226665721977937e-06,512,32,0.921,0.15,0.001822067901753879,0.8,0.01,3,256,Tanh,233.5266486
21,1.0920802054925035e-06,512,32,0.918,0.13,0.0007835438398052651,0.6,0.02,3,256,Tanh,234.33610720000001
22,1.704610939962412e-06,512,32,0.922,0.13999999999999999,0.00078700075062706,0.7000000000000001,0.02,3,256,Tanh,233.9489512
23,1.40511803463047e-06,512,32,0.912,0.13,0.003251567456158884,0.4,0.02,3,256,Tanh,233.5438882
24,4.5834178504898165e-06,512,32,0.918,0.15,0.00018729930280179228,0.6,0.02,3,256,Tanh,233.77496839999998
25,2.2505385067352695e-06,512,32,0.88,0.13,0.003265846115671036,0.4,0.02,3,256,Tanh,233.22083119999996
26,8.097566610332689e-06,256,64,0.909,0.13999999999999999,0.000475562876798346,0.9,0.02,3,256,Tanh,233.03360700000002
27,1.0166836826672562e-06,512,32,0.923,0.16,0.0011011520786969224,0.6,0.02,3,256,Tanh,233.54844480000003
28,1.5891463626206676e-06,512,32,0.916,0.15,0.0003314015671980654,0.7000000000000001,0.005,3,256,Tanh,233.8469316
29,1.1555252119519706e-05,256,64,0.924,0.19,0.0017915653121417757,0.5,0.02,3,64,Tanh,233.62192340000001
