trial_number,n_layers,hidden_size,activation,value
0,3,96,Tanh,163.6629058
1,3,256,Tanh,163.5916544
2,2,128,LeakyReLU,163.60884240000001
3,3,96,Tanh,163.6025012
4,3,256,Tanh,163.9063484
5,2,256,LeakyReLU,164.2321886
6,2,256,Tanh,163.97349979999998
7,3,96,Tanh,163.70473780000003
8,2,128,LeakyReLU,163.78814119999998
9,3,96,Tanh,163.6698174
10,3,256,ReLU,163.28866520000003
11,2,256,ReLU,163.9817966
12,2,256,LeakyReLU,164.07120600000002
13,2,256,ReLU,163.60784460000002
14,2,256,LeakyReLU,163.513219
15,2,256,LeakyReLU,163.7671276
16,2,256,LeakyReLU,163.682677
17,2,128,LeakyReLU,164.2258086
18,2,128,LeakyReLU,163.8035682
19,2,128,LeakyReLU,163.99216339999998
20,2,128,LeakyReLU,163.64123039999998
21,2,128,LeakyReLU,163.78560080000003
22,2,128,LeakyReLU,163.78968460000002
23,2,256,LeakyReLU,163.9387468
24,2,256,LeakyReLU,163.5988612
25,2,256,LeakyReLU,163.66915840000001
26,2,128,LeakyReLU,163.666721
27,2,128,ReLU,163.3516684
28,2,256,ReLU,164.1309984
29,2,96,LeakyReLU,163.7814644
30,2,96,ReLU,164.06036699999999
31,2,96,ReLU,163.82766740000002
32,2,256,ReLU,164.054794
33,2,256,ReLU,163.60488919999997
34,2,256,ReLU,163.5495586
35,2,256,LeakyReLU,163.602175
36,3,256,LeakyReLU,163.7970128
37,3,256,LeakyReLU,163.93061319999998
38,2,256,Tanh,163.9303332
39,2,128,Tanh,163.67671719999998
40,2,128,Tanh,163.9604484
41,2,256,LeakyReLU,164.1947734
42,2,96,ReLU,163.7449444
43,2,256,LeakyReLU,164.1637202
44,2,256,LeakyReLU,163.5918562
45,2,256,LeakyReLU,164.0053642
46,2,256,LeakyReLU,163.9322604
47,3,256,LeakyReLU,163.5199478
48,3,256,LeakyReLU,163.8204754
49,2,256,LeakyReLU,164.1796352
