trial_number,learning_rate,n_steps,batch_size,clip_range,ent_coef,vf_coef,value
0,4.312203755855967e-05,768,64,0.25,3.1095177042589064e-05,0.85,164.31655800000001
1,1.2735400619624117e-05,512,64,0.25,1.3962081163272024e-05,0.75,163.9686626
3,5.576987220975765e-05,512,128,0.3,2.503973359370454e-05,0.65,163.85713379999999
2,2.019487527716811e-05,256,32,0.15,5.670895380927404e-05,0.75,164.140127
5,1.0664272778767876e-05,256,64,0.2,2.210536398756792e-05,0.8,163.910849
4,8.11532416138861e-05,768,32,0.15,7.100391209242823e-05,0.8,163.6424174
6,4.126078543109548e-05,512,128,0.15,1.3972131072517841e-05,0.7000000000000001,163.6589278
7,1.5522606104042625e-05,768,64,0.25,4.509262810619293e-05,0.7000000000000001,163.87228199999998
8,1.95184311126075e-05,768,64,0.3,7.148290503213261e-05,0.8,163.9265484
9,4.4894663815355285e-05,512,64,0.25,6.653406289942021e-05,0.8,163.8933264
10,1.0679531421575602e-05,256,32,0.15,4.873790841537269e-05,0.75,163.7359968
11,9.891736036666777e-05,768,32,0.2,3.5685891950235217e-05,0.85,163.4862928
12,2.5757837695902233e-05,256,32,0.2,3.8509367629902635e-05,0.85,164.120266
13,2.3937543401240625e-05,256,32,0.2,9.81455066345932e-05,0.85,164.00442779999997
14,2.944081958448771e-05,256,32,0.25,9.917849239045292e-05,0.7000000000000001,164.3952546
15,3.171487896895481e-05,768,128,0.25,2.4578500576536393e-05,0.7000000000000001,164.0177616
16,3.0260934373476142e-05,768,128,0.25,2.6056677432611308e-05,0.65,163.4528382
17,6.19726650746094e-05,256,64,0.3,1.0414138679080305e-05,0.65,164.15935100000002
18,6.019247901486156e-05,256,64,0.3,1.0313202890698096e-05,0.7000000000000001,163.900533
19,3.987613277504031e-05,256,64,0.3,9.800036992095842e-05,0.7000000000000001,164.94057400000003
20,3.618771546500001e-05,768,32,0.25,9.94700100259712e-05,0.75,164.44173320000002
21,3.486585226973108e-05,256,32,0.3,9.654424322108291e-05,0.7000000000000001,164.6077292
22,3.421990991122121e-05,256,32,0.3,9.330818093823387e-05,0.7000000000000001,164.2546114
23,3.6461924429267715e-05,256,32,0.3,8.264523159565996e-05,0.75,164.4826182
24,3.808054503598223e-05,256,32,0.3,8.094687252689646e-05,0.75,163.7206114
25,5.0602847226639594e-05,256,32,0.3,7.809467475425029e-05,0.75,164.1968416
26,5.100693791793659e-05,256,32,0.3,5.533363153111977e-05,0.65,164.92242919999998
27,2.4526523905055107e-05,256,32,0.3,6.61255979193583e-05,0.65,163.7109714
29,7.002796250522068e-05,256,128,0.3,5.946839661330274e-05,0.65,163.78730259999998
28,6.761618507645474e-05,256,32,0.3,5.5319806915609116e-05,0.65,164.1848146
30,4.5807477355715364e-05,256,64,0.3,5.440397220981123e-05,0.65,164.24135579999998
31,4.961837225552098e-05,256,64,0.3,4.463778860781702e-05,0.7000000000000001,163.4040644
32,5.0288574570547536e-05,256,32,0.3,8.198355833257704e-05,0.7000000000000001,163.754383
33,3.935115995205561e-05,256,32,0.3,8.245264847021393e-05,0.7000000000000001,164.07685399999997
34,3.862372631574833e-05,256,32,0.25,8.353048401492719e-05,0.75,164.0417166
35,2.724662363982376e-05,512,32,0.25,8.715395523553805e-05,0.75,164.3500002
37,2.0041625007075645e-05,256,64,0.3,6.104516471325718e-05,0.65,163.990012
36,2.6809867352029958e-05,512,32,0.3,6.57386506036925e-05,0.75,163.7513642
39,3.393867290926005e-05,256,128,0.3,7.551921709232778e-05,0.7000000000000001,163.76046340000002
38,3.391988886248576e-05,512,32,0.3,7.296770767904253e-05,0.7000000000000001,164.47802719999999
40,4.270799594769781e-05,256,64,0.25,1.7887768572910654e-05,0.8,163.98548920000002
41,1.6355154721944385e-05,256,64,0.25,4.798650468806532e-05,0.8,164.255426
42,5.492040013047942e-05,512,32,0.3,7.30359706825224e-05,0.7000000000000001,164.0606486
43,5.644654937363811e-05,512,32,0.3,7.274310269020172e-05,0.7000000000000001,164.26139419999998
44,2.222830671100015e-05,512,32,0.3,8.805952583299117e-05,0.7000000000000001,163.77603800000003
45,3.450756005667807e-05,512,32,0.3,9.390217513402388e-05,0.65,164.7769916
46,4.286091760835956e-05,512,32,0.3,9.14624886764041e-05,0.65,163.93534800000003
47,4.62501289676213e-05,512,32,0.3,9.310072426179892e-05,0.65,163.3903982
48,4.616771111370236e-05,512,32,0.3,3.182423045416747e-05,0.65,163.81843039999998
49,2.9525983352047627e-05,256,32,0.15,3.302917634843526e-05,0.65,163.9990742
