trial_number,gamma,gae_lambda,use_target_kl,value
0,0.9791053405583922,0.9400000000000001,0.025,164.00450740000002
1,0.9780210268155478,0.9500000000000001,,163.99493760000001
2,0.9898537925785256,0.98,0.01,164.02997320000003
3,0.9972311209765581,0.9,0.025,164.2324094
4,0.9700868367221358,0.9500000000000001,,164.2143852
5,0.9956341163426817,0.96,0.01,164.0799096
6,0.9927853148294199,0.92,,164.25402679999996
7,0.9646508799425346,0.93,0.01,163.94297160000002
8,0.9731481365120616,0.9,0.01,164.4696678
9,0.9759855653249122,0.9500000000000001,,163.879225
10,0.9507185443361991,0.9,0.015,164.55094739999998
11,0.9531676558685345,0.9,0.015,164.43641080000003
12,0.9508682564463534,0.91,0.015,164.2291562
13,0.9594920929991994,0.92,0.02,164.5875752
14,0.9584192659670223,0.92,0.02,164.15184359999998
15,0.9593705009043668,0.92,0.02,164.1777082
16,0.9573542856346444,0.91,0.015,164.0658772
17,0.964943227222657,0.93,0.02,163.9895344
18,0.9506131589981925,0.91,0.015,164.14181639999998
19,0.964323258056759,0.93,0.02,164.256614
20,0.9841639329143578,0.91,0.015,164.19957040000003
21,0.9708418935584349,0.9,0.01,163.8632532
22,0.9550994238604464,0.9,0.01,164.405083
23,0.960793915236202,0.92,0.02,164.18019999999999
24,0.9700194821182628,0.91,0.025,163.77634060000003
25,0.9811312547080329,0.9,0.02,164.15056420000002
26,0.9871418110993295,0.98,0.01,164.00645559999998
27,0.9631137816309021,0.91,0.015,163.95527940000002
28,0.9539175926804904,0.92,0.01,164.1821642
29,0.9713164934916478,0.9400000000000001,0.025,164.28407700000002
30,0.9671231558240451,0.93,0.015,164.2830846
31,0.9539524327920739,0.9,0.015,164.5508894
32,0.9562951785419518,0.9,0.015,164.294362
33,0.9503594047429554,0.9,0.015,164.227782
34,0.960697936603529,0.91,0.015,164.1382976
35,0.9795346051486843,0.9,0.025,164.1437578
36,0.953255024327911,0.96,0.02,164.644996
37,0.9530750485882177,0.97,0.02,164.10717300000002
38,0.9561743535053338,0.96,0.02,164.2112404
39,0.9528901613290637,0.97,0.02,163.750885
40,0.9609811397802376,0.9500000000000001,,164.2048462
41,0.9753980340628222,0.96,0.01,163.8666458
42,0.9548203170261723,0.9,0.02,164.1787258
43,0.9518966841942448,0.97,,164.3733816
44,0.9577070981605912,0.91,0.01,164.33255880000002
45,0.966447177273901,0.9400000000000001,0.015,164.0093808
46,0.9989356582675639,0.92,0.02,163.92828500000002
47,0.9584128849712692,0.93,0.015,163.5580308
48,0.9622329451809233,0.9,0.02,164.1298834
49,0.9502138769130115,0.92,,164.08896
